UserID,AvgScore,AvgRating,AvgCatMatch,AvgLvlMatch,AvgPop
U0900,0.905241935483871,4.319999999999999,1.0,1.0,0.8258064516129032
U0437,0.9,4.38,1.0,1.0,0.7958333333333334
U0071,0.8875,4.540000000000001,1.0,1.0,0.7208333333333334
U1667,0.915,4.62,1.0,1.0,0.7958333333333334
U0970,0.9124193548387097,4.28,1.0,1.0,0.8580645161290323
U0515,0.9024999999999999,4.6,1.0,1.0,0.7583333333333333
U1085,0.8525,4.24,1.0,1.0,0.6666666666666667
U1993,0.75,4.52,0.6,1.0,0.6
U0342,0.9024999999999999,4.6,1.0,1.0,0.7583333333333333
U0243,0.8369758064516128,4.58,1.0,0.8,0.6774193548387097
U0925,0.835,4.34,1.0,1.0,0.5875
U0685,0.83375,4.42,1.0,1.0,0.5666666666666667
U1666,0.8369758064516128,4.58,1.0,0.8,0.6774193548387097
U0823,0.915,4.62,1.0,1.0,0.7958333333333334
U1760,0.915,4.62,1.0,1.0,0.7958333333333334
U0864,0.915,4.62,1.0,1.0,0.7958333333333334
U0902,0.845,4.359999999999999,1.0,1.0,0.6166666666666667
U0914,0.8868951612903226,4.459999999999999,1.0,1.0,0.7354838709677418
U0715,0.92125,4.7,1.0,1.0,0.8
U0707,0.8950000000000001,4.4,1.0,1.0,0.775
U1237,0.8814516129032258,4.279999999999999,1.0,1.0,0.7548387096774194
U0764,0.9025000000000001,4.659999999999999,1.0,1.0,0.7458333333333333
U1886,0.915,4.62,1.0,1.0,0.7958333333333334
U0708,0.8225,4.4,1.0,1.0,0.5333333333333334
U0497,0.9024999999999999,4.6,1.0,1.0,0.7583333333333333
U1704,0.8375,4.380000000000001,1.0,1.0,0.5875
U0590,0.915,4.62,1.0,1.0,0.7958333333333334
U1077,0.9025000000000001,4.659999999999999,1.0,1.0,0.7458333333333333
U1992,0.9151612903225805,4.2,1.0,1.0,0.8838709677419356
U1991,0.9092338709677419,4.26,1.0,1.0,0.8516129032258064
U0885,0.8938306451612904,4.540000000000001,1.0,1.0,0.7419354838709677
U0169,0.9151612903225805,4.2,1.0,1.0,0.8838709677419356
U0734,0.8725403225806451,4.54,1.0,1.0,0.6709677419354838
U1465,0.8275403225806451,4.14,1.0,0.9,0.6709677419354838
U1919,0.9025000000000001,4.42,1.0,1.0,0.7958333333333333
U0123,0.8725403225806451,4.54,1.0,1.0,0.6709677419354838
U1803,0.845,4.359999999999999,1.0,1.0,0.6166666666666667
U1191,0.865,4.6,1.0,1.0,0.6333333333333334
U0119,0.915,4.62,1.0,1.0,0.7958333333333334
U1986,0.91525,4.38,1.0,1.0,0.8466666666666667
U0072,0.9151612903225805,4.2,1.0,1.0,0.8838709677419356
U1833,0.9151612903225805,4.2,1.0,1.0,0.8838709677419356
U1429,0.8537500000000001,4.619999999999999,1.0,1.0,0.5916666666666667
U0180,0.9151612903225805,4.2,1.0,1.0,0.8838709677419356
U1727,0.8099999999999999,4.4,1.0,1.0,0.4916666666666667
U0446,0.9024999999999999,4.6,1.0,1.0,0.7583333333333333
U0693,0.8105645161290322,4.5600000000000005,1.0,0.8,0.5935483870967742
U0825,0.9151612903225805,4.2,1.0,1.0,0.8838709677419356
U1064,0.9056854838709677,4.42,1.0,1.0,0.8064516129032258
U0629,0.9037499999999999,4.3,1.0,1.0,0.825
U1246,0.835,4.34,1.0,1.0,0.5875
U0398,0.915,4.62,1.0,1.0,0.7958333333333334
U0308,0.835,4.4,1.0,1.0,0.575
U1175,0.9024999999999999,4.6,1.0,1.0,0.7583333333333333
U0984,0.9025000000000001,4.2,1.0,1.0,0.8416666666666668
U0971,0.8537500000000001,4.619999999999999,1.0,1.0,0.5916666666666667
U0496,0.9025000000000001,4.42,1.0,1.0,0.7958333333333333
U0530,0.8108870967741935,4.3999999999999995,1.0,0.6,0.7612903225806452
U0978,0.9125,4.720000000000001,1.0,1.0,0.7666666666666668
U0127,0.9,4.38,1.0,1.0,0.7958333333333334
U0872,0.906491935483871,4.34,1.0,1.0,0.8258064516129032
U1290,0.8537500000000001,4.619999999999999,1.0,1.0,0.5916666666666667
U0079,0.8137500000000001,4.42,1.0,1.0,0.5
U0830,0.865,4.4,1.0,1.0,0.675
U1127,0.8399999999999999,4.46,1.0,1.0,0.5791666666666666
U0681,0.9151612903225805,4.2,1.0,1.0,0.8838709677419356
U1489,0.9107258064516129,4.16,1.0,1.0,0.8774193548387098
U0576,0.8262499999999999,4.38,1.0,1.0,0.55
U1535,0.89625,4.7,1.0,1.0,0.7166666666666667
U1499,0.8797177419354838,4.5,1.0,1.0,0.7032258064516128
U0608,0.8399999999999999,4.32,1.0,1.0,0.6083333333333334
U1984,0.83125,4.28,1.0,1.0,0.5875
U0111,0.845,4.359999999999999,1.0,1.0,0.6166666666666667
U1495,0.9024999999999999,4.659999999999999,1.0,1.0,0.7458333333333333
U0039,0.8829999999999998,4.279999999999999,1.0,1.0,0.76
U0160,0.8675,4.279999999999999,1.0,1.0,0.7083333333333334
U1593,0.9024999999999999,4.6,1.0,1.0,0.7583333333333333
U0094,0.9107258064516129,4.16,1.0,1.0,0.8774193548387098
U1433,0.9151612903225805,4.2,1.0,1.0,0.8838709677419356
U1530,0.8099999999999999,4.4,1.0,1.0,0.4916666666666667
U0547,0.9024999999999999,4.659999999999999,1.0,1.0,0.7458333333333333
U1836,0.835,4.34,1.0,1.0,0.5875
U1690,0.7637500000000002,4.26,0.6,1.0,0.7
U0357,0.915,4.62,1.0,1.0,0.7958333333333334
U0495,0.91375,4.6,1.0,1.0,0.7958333333333334
U1635,0.811733870967742,4.3,1.0,0.8,0.6516129032258065
U1549,0.9151612903225805,4.2,1.0,1.0,0.8838709677419356
U0377,0.89375,4.720000000000001,1.0,1.0,0.7041666666666667
U1278,0.845,4.359999999999999,1.0,1.0,0.6166666666666667
U1563,0.8537500000000001,4.619999999999999,1.0,1.0,0.5916666666666667
U1318,0.915,4.62,1.0,1.0,0.7958333333333334
U0081,0.9151612903225805,4.2,1.0,1.0,0.8838709677419356
U1808,0.7662500000000001,4.3,0.8,0.9,0.6
U1452,0.9151612903225805,4.2,1.0,1.0,0.8838709677419356
U1508,0.906491935483871,4.34,1.0,1.0,0.8258064516129032
U1478,0.9125,4.720000000000001,1.0,1.0,0.7666666666666668
U1911,0.8925000000000001,4.4799999999999995,1.0,1.0,0.7499999999999999
U0173,0.907258064516129,4.6,1.0,1.0,0.7741935483870968
U1015,0.835,4.4,1.0,1.0,0.575
U0200,0.8554941860465117,4.34,1.0,1.0,0.6558139534883722
